A	B	DRB1	freq
1	27	1113	0
1	27	1201	0.00004
1	27	1202	0.000002
1	27	1301	0.000099
1	27	1302	0.000013
1	27	1303	0.000001
1	27	1304	0
1	27	1308	0
1	27	1310	0.000001
1	27	1342	0.000001
1	27	1401	0.000072
1	27	1404	0
1	27	1406	0
1	27	1407	0
1	27	1425	0
1	27	1501	0.000176
1	27	1502	0
1	27	1503	0
1	27	1601	0.000064
1	27	1602	0
1	35	0101	0.00114
1	35	0102	0.000084
1	35	0103	0.000337
1	35	0301	0.000149
1	35	0302	0
1	35	0304	0
1	35	0401	0.000102
1	35	0402	0.000087
1	35	0403	0.000203
1	35	0404	0.000072
1	35	0405	0.000021
1	35	0406	0
1	35	0407	0.000085
1	35	0408	0.000035
1	35	0415	0
1	35	0701	0.000305
1	35	0801	0.000118
1	35	0802	0.000001
1	35	0803	0.000001
1	35	0804	0.000035
1	35	0806	0
1	35	0810	0.000001
1	35	0901	0.000014
1	35	1001	0.000234
1	35	1101	0.000308
1	35	1102	0.00001
1	35	1103	0.00006
1	35	1104	0.00263
1	35	1106	0
1	35	1107	0
1	35	1108	0
1	35	1112	0.000008
1	35	1115	0.000001
1	35	1116	0.000001
1	35	1118	0.000001
1	35	1201	0.000126
1	35	1202	0
1	35	1301	0.000168
1	35	1302	0.000571
1	35	1303	0.00011
1	35	1304	0
1	35	1305	0.000068
1	35	1306	0.000001
1	35	1307	0
1	35	1308	0
1	35	1311	0.000001
1	35	1314	0.000001
1	35	1322	0
1	35	1323	0
1	35	1326	0
1	35	1341	0
1	35	1401	0.000312
1	35	1402	0
1	35	1404	0.000004
1	35	1406	0
1	35	1407	0
1	35	1409	0
1	35	1410	0
1	35	1415	0
1	35	1417	0.000002
1	35	1501	0.000364
1	35	1502	0.000041
1	35	1503	0
1	35	1506	0
1	35	1601	0.000051
1	35	1602	0.000005
1	35	1603	0
1	37	0101	0.000569
1	37	0102	0.000007
1	37	0103	0.000019
1	37	0301	0.000174
1	37	0302	0
1	37	0304	0.000002
1	37	0401	0.00053
1	37	0402	0.000018
1	37	0403	0.000027
1	37	0404	0.000116
1	37	0405	0.000004
1	37	0407	0.00008
1	37	0408	0.000023
1	37	0411	0
1	37	0413	0.000002
1	37	0414	0
1	37	0701	0.000535
1	37	0801	0.000118
1	37	0802	0
1	37	0803	0.000007
1	37	0804	0.000007
1	37	0809	0
1	37	0810	0.000001
1	37	0901	0.000043
1	37	1001	0.001527
1	37	1101	0.000475
1	37	1102	0.00002
1	37	1103	0.000211
1	37	1104	0.00029
1	37	1108	0
1	37	1111	0
1	37	1119	0
1	37	1201	0.000122
1	37	1202	0
1	37	1301	0.000202
1	37	1302	0.00018
1	37	1303	0.000024
1	37	1304	0
1	37	1305	0.000008
1	37	1306	0
1	37	1307	0.000001
1	37	1311	0
1	37	1401	0.000193
1	37	1402	0
1	37	1404	0.000001
1	37	1405	0
1	37	1406	0.000001
1	37	1408	0
1	37	1409	0
1	37	1410	0
1	37	1417	0
1	37	1501	0.00167
1	37	1502	0.000011
1	37	1503	0.000001
1	37	1504	0
1	37	1601	0.000127
1	37	1602	0.000001
1	37	1608	0.000002
1	38	0101	0.000051
1	38	0102	0.000003
1	38	0301	0.000028
1	38	0401	0.000026
1	38	0402	0.000118
1	38	0403	0.000023
1	38	0404	0.000009
1	38	0405	0
1	38	0407	0.000003
1	38	0408	0.000005
1	38	0413	0
1	38	0416	0
1	38	0701	0.000054
1	38	0802	0
1	38	0803	0.000004
1	38	0804	0
1	38	0806	0.000001
1	38	0807	0.000004
1	38	0809	0
1	38	0811	0.000004
1	38	0901	0.000001
1	38	1001	0.000016
1	38	1101	0.000068
1	38	1102	0.000002
1	38	1103	0.000005
1	38	1104	0.000148
1	38	1111	0.000001
1	38	1201	0.000003
1	38	1301	0.000483
1	38	1302	0.000054
1	38	1303	0.000009
1	38	1305	0.000006
1	38	1310	0.000001
1	38	1322	0
1	38	1401	0.000101
1	38	1416	0.000001
1	38	1501	0.000046
1	38	1502	0.000096
1	38	1503	0
1	38	1504	0
1	38	1506	0
1	38	1601	0.000006
1	38	1602	0
1	39	0101	0.00009
1	39	0102	0.000003
1	39	0103	0.000003
1	39	0301	0.000031
1	39	0302	0
1	39	0303	0
1	39	0401	0.000027
1	39	0402	0.000005
1	39	0403	0
1	39	0404	0.00002
1	39	0405	0
1	39	0406	0
1	39	0407	0.000004
1	39	0408	0
1	39	0411	0
1	39	0416	0
1	39	0432	0
1	39	0701	0.000052
1	39	0801	0.000269
1	39	0802	0.000012
1	39	0804	0.000007
1	39	0809	0
1	39	0901	0.000008
1	39	1001	0.000002
1	39	1101	0.00008
1	39	1102	0.000009
1	39	1103	0
1	39	1104	0.000026
1	39	1201	0.000036
1	39	1202	0
1	39	1301	0.00008
1	39	1302	0.000027
1	39	1303	0.000016
1	39	1305	0
1	39	1311	0
1	39	1318	0
1	39	1322	0.000001
1	39	1324	0.000001
1	39	1401	0.000025
1	39	1404	0
1	39	1405	0
1	39	1406	0
1	39	1407	0.000001
